Name,cr_numeric,actual_hp,predicted_hp,hp_delta,hp_delta_pct,hp_delta_pct_percentile,hp_baseline,ac_baseline,attack_baseline,dpr_baseline,dc_baseline,highest_attack_bonus,highest_save_dc,estimated_dpr,feature_dpr,legendary_dpr,total_dpr,feature_ac,total_ac,feature_attack,total_attack,feature_hp,ac_deviation,attack_deviation,dpr_deviation,save_dc_deviation,hp_after_phase2,hp_after_resist_immun_penalty,residual_hp,has_legendary_resistance_scaled,has_regeneration_scaled,has_flying,save_proficiency_count,resistance_count,immunity_count,vulnerability_count,legendary_action_count,legendary_actions_per_round,has_spellcasting,size_ordinal,size_ordinal_baseline,size_ordinal_deviation,feature_aggressive,feature_ambusher,feature_amorphous,feature_amphibious,feature_angelic_weapons,feature_antimagic_susceptibility,feature_avoidance,feature_blind_senses,feature_blood_frenzy,feature_breath_weapon,feature_brute,feature_charge,feature_charm,feature_constrict,feature_damage_absorption,feature_damage_transfer,feature_death_burst,feature_devils_sight,feature_dive_attack,feature_echolocation,feature_elemental_body,feature_enlarge,feature_etherealness,feature_false_appearance,feature_fey_ancestry,feature_fiendish_blessing,feature_flyby,feature_frightful_presence,feature_grapple,feature_grappler,feature_hold_breath,feature_horrifying_visage,feature_illumination,feature_immutable_form,feature_incorporeal_movement,feature_innate_spellcasting,feature_invisibility,feature_keen_senses,feature_labyrinthine_recall,feature_leadership,feature_legendary_resistance,feature_life_drain,feature_light_sensitivity,feature_magic_resistance,feature_magic_weapons,feature_martial_advantage,feature_mimicry,feature_nightmare_haunting,feature_nimble_escape,feature_otherworldly_perception,feature_pack_tactics,feature_parry,feature_possession,feature_pounce,feature_prone,feature_psychic_defense,feature_rampage,feature_read_thoughts,feature_reckless,feature_redirect_attack,feature_reel,feature_regeneration,feature_rejuvenation,feature_relentless,feature_shadow_stealth,feature_shapechange,feature_siege_monster,feature_slippery,feature_sneak_attack,feature_spell_immunity,feature_spellcasting,feature_spider_climb,feature_standing_leap,feature_steadfast,feature_stench,feature_sunlight_sensitivity,feature_superior_invisibility,feature_sure_footed,feature_surprise_attack,feature_swallow,feature_teleport,feature_terrain_camouflage,feature_threatening_reach,feature_tunneler,feature_turn_immunity,feature_turn_resistance,feature_two_heads,feature_web,feature_web_sense,feature_web_walker,feature_wounded_fury,inflicts_poisoned,inflicts_blinded,inflicts_charmed,inflicts_deafened,inflicts_frightened,inflicts_incapacitated,inflicts_paralyzed,inflicts_petrified,inflicts_restrained,inflicts_stunned,cr_tier,Type,Size,Challenge_Rating,HP,AC,ac_value,has_advantage_condition,has_disadvantage_condition,has_attackers_advantage,inflicts_prone,has_grapple
Awakened Shrub,0.0,10,4.64754448950269,-5.35245551049731,-53.5245551049731,59.29203539823009,4.5,10.0,2.0,2.0,10.0,1.0,0,3.5,0.0,0,3.5,0,9,0,1.0,0.0,-1.0,-1.0,1.5,0.0,6.875,5.15625,4.84375,0.0,0.0,0,0,1,0,1,0,0,0,1,2.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,plant,Small,0,10 (3d6),9,9,0,0,0,0,0
Baboon,0.0,3,-0.17839341772648987,-3.1783934177264896,-105.94644725754965,80.08849557522124,4.5,10.0,2.0,2.0,10.0,1.0,0,3.5,0.0,0,3.5,0,12,1,2.0,0.0,2.0,0.0,1.5,0.0,0.375,0.375,2.625,0.0,0.0,0,0,0,0,0,0,0,0,1,2.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cr1,beast,Small,0,3 (1d6),12,12,0,0,0,0,0
Deer,0.0,4,-0.09375,-4.09375,-102.34375,76.99115044247787,4.5,10.0,2.0,2.0,10.0,2.0,0,2.5,0.0,0,2.5,0,13,0,2.0,0.0,3.0,0.0,0.5,0.0,-0.375,-0.09375,4.09375,-0.0,-0.0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Medium,0,4 (1d8),13,13,0,0,0,0,0
Eagle,0.0,3,-1.6471434177264899,-4.64714341772649,-154.904780590883,86.72566371681415,4.5,10.0,2.0,2.0,10.0,4.0,0,4.5,0.0,0,4.5,0,12,0,4.0,0.0,2.0,2.0,2.5,0.0,-4.375,-1.09375,4.09375,-0.0,-0.0,1,0,0,0,0,0,0,0,1,2.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Small,0,3 (1d6),12,12,0,0,0,0,0
Frog,0.0,1,7.393213164547021,6.393213164547021,639.3213164547021,98.67256637168141,4.5,10.0,2.0,2.0,10.0,0.0,0,0.0,0.0,0,0.0,0,11,0,0.0,0.0,1.0,-2.0,-2.0,0.0,8.5,8.5,-7.5,0.0,0.0,0,0,0,0,0,0,0,0,0,2.0,-2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Tiny,0,1 (1d4-1),11,11,0,0,0,0,0
Giant Fire Beetle,0.0,4,-0.42839341772648987,-4.42839341772649,-110.70983544316223,81.41592920353983,4.5,10.0,2.0,2.0,10.0,1.0,0,4.5,0.0,0,4.5,0,13,0,1.0,0.0,3.0,-1.0,2.5,0.0,0.125,0.125,3.875,0.0,0.0,0,0,0,0,0,0,0,0,1,2.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Small,0,4 (1d6+1),13 (Natural Armor),13,0,0,0,0,0
Goat,0.0,4,0.625,-3.375,-84.375,70.79646017699115,4.5,10.0,2.0,2.0,10.0,3.0,10,3.5,0.0,0,3.5,0,10,0,3.0,0.0,0.0,1.0,1.5,0.0,0.625,0.625,3.375,0.0,0.0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Medium,0,4 (1d8),10,10,0,0,0,1,0
Rat,0.0,1,8.14321316454702,7.143213164547021,714.3213164547021,100.0,4.5,10.0,2.0,2.0,10.0,0.0,0,1.0,0.0,0,1.0,0,10,0,0.0,0.0,0.0,-2.0,-1.0,0.0,9.25,9.25,-8.25,0.0,0.0,0,0,0,0,0,0,0,0,0,2.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Tiny,0,1 (1d4-1),10,10,0,0,0,0,0
Octopus,0.0,3,-0.9908934177264899,-3.9908934177264896,-133.029780590883,84.070796460177,4.5,10.0,2.0,2.0,10.0,4.0,10,1.0,0.0,0,1.0,0,12,0,4.0,0.0,2.0,2.0,-1.0,0.0,-1.75,-0.4375,3.4375,-0.0,-0.0,0,0,0,0,0,0,0,0,1,2.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Small,0,3 (1d6),12,12,0,0,0,0,1
Owl,0.0,1,0.6432131645470203,-0.35678683545297973,-35.67868354529797,40.707964601769916,4.5,10.0,2.0,2.0,10.0,3.0,0,1.0,0.0,0,1.0,0,11,0,3.0,0.0,1.0,1.0,-1.0,0.0,1.75,1.75,-0.75,0.0,0.0,1,0,0,0,0,0,0,0,0,2.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr1,beast,Tiny,0,1 (1d4-1),11,11,0,0,0,0,0
